web-scraper-order,web-scraper-start-url,title,title-href,lokasi,luaslahan,luasbangunan,kamartidur,kamarmandi,fullyfurnished,memiliki_ac,memiliki_airpanas,memiliki_tv,memiliki_kitchenset,memiliki_balkon,memiliki_keamanan24jam,memiliki_tamanbermainanak,harga
"1696674469-1961","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/rumah-kolam-renang-jagakarsa-jakarta-selatan-169562331888.html","Jagakarsa, Jakarta Selatan","132 m²","170 m²","4","4","170","null","null","null","Kitchen set","null","null","null","Rp30.500.000.000"
"1696674473-1962","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/termurah-rumah-patal-senayan-seberang-apartment-se-169510261166.html","Patal Senayan
                                        Senayan, Jakarta Selatan","616 m²","300 m²","5","5","300","null","null","null","null","null","null","null","Rp38.000.000.000"
"1696674477-1963","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/rumah-bagus-puri-indah-raya-lt555m2-kembangan-169510258153.html","Puri Indah, Jakarta Barat","555 m²","600 m²","5","4","600","null","null","null","null","null","null","null","Rp19.600.000.000"
"1696674481-1964","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/jual-cepat-murahhhh-rumah-jl-bb-sukabumi-selatan-k-169510266360.html","Jalan BB No 1 Sukabumi Selatan
                                        Kebon Jeruk, Jakarta Barat","1042 m²","900 m²","4","4","900","null","null","null","null","null","null","null","Rp7.500.000.000"
"1696674484-1965","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/murah-rumah-jl-dwijaya-raya-dekat-pondok-indah-mal-169510264953.html","Jalan Dwijaya Raya
                                        Gandaria, Jakarta Selatan","1508 m²","700 m²","4","4","700","null","null","null","null","null","null","null","Rp19.500.000.000"
"1696674488-1966","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/komplek-hankam-jalan-bazoka-raya-169510260431.html","Jalan Bazoka Raya
                                        Joglo, Jakarta Barat","179 m²","200 m²","3","3","200","null","null","null","null","null","null","null","Rp2.600.000.000"
"1696674492-1967","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/rumah-private-pool-jagakarsa-jakarta-selatan-169562460973.html","21
                                        Jagakarsa, Jakarta Selatan","176 m²","180 m²","5","5","180","Pendingin ruangan (AC)","null","null","Kitchen set","Balkon","Keamanan 24 jam","Taman bermain anak","Rp3.500.000.000"
"1696674498-1968","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/eklusif-rumah-jakarta-dekat-antasari-place-169562969996.html","Jalan Pangeran Antasari, Jakarta Selatan 12730, Indonesia
                                        Mampang Prapatan, Jakarta Selatan","436 m²","300 m²","5","5","300","null","null","null","null","null","null","null","Rp12.500.000.000"
"1696674501-1969","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/dijual-cepat-siap-huni-rumah-pasadena-cengkareng-j-169563051455.html","The Pasadena, Jakarta Barat 11730, Indonesia
                                        Cengkareng Timur, Jakarta Barat","52 m²","52 m²","2","2","52","Pendingin ruangan (AC)","null","null","Kitchen set","null","Keamanan 24 jam","null","Rp1.350.000.000"
"1696674505-1970","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/hot-price-murah-rumah-pondok-indah-gedung-hijau-ra-169510262923.html","Pondok Indah, Jakarta Selatan","643 m²","800 m²","4","3","800","null","null","null","null","null","null","null","Rp17.500.000.000"
"1696674509-1971","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/termurah-jl-pupan-dkt-pondok-indah-lt455m2-jakarta-169510267514.html","Pondok Pinang, Jakarta Selatan","455 m²","600 m²","7","7","600","null","null","null","null","null","null","null","Rp6.800.000.000"
"1696674513-1972","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/taman-kedoya-permai-169510264255.html","Jalan Prisma Raya
                                        Kebon Jeruk, Jakarta Barat","216 m²","200 m²","4","4","200","null","null","null","null","null","null","null","Rp2.800.000.000"
"1696674517-1973","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/komplek-perumahan-delta-kedoya-169510264595.html","Jalan Pilar
                                        Kedoya, Jakarta Barat","423 m²","600 m²","4","4","600","null","null","null","null","null","null","null","Rp6.100.000.000"
"1696674520-1974","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/rumah-2-lantai-di-kramat-senen-jakarta-pusat-168570555524.html","Jalan Kramat Pulo, Jakarta Pusat 10450, Indonesia
                                        Senen, Jakarta Pusat","35 m²","70 m²","2","2","Tidak","null","null","null","null","null","Keamanan 24 jam","null","Rp770.000.000"
"1696674524-1975","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/murah-taman-kedoya-permai-jl-trapesium-raya-dekat-169510259410.html","Kebon Jeruk, Jakarta Barat","285 m²","350 m²","4","3","350","null","null","null","null","null","null","null","Rp4.400.000.000"
"1696674528-1976","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/dijual-murah-rumah-pantai-indah-kapuk-169157447157.html","Penjaringan, Jakarta Utara","171 m²","230 m²","4","4","230","Pendingin ruangan (AC)","null","null","null","null","null","null","Rp4.200.000.000"
"1696674532-1977","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/dijual-pangkalan-jati-1-jatiwaringin-kalimalang-169172062543.html","Pangkalan Jat III
                                        Cipinang, Jakarta Timur","259 m²","200 m²","5","5","Tidak","null","null","null","null","null","null","null","Rp2.800.000.000"
"1696674536-1978","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-baru-nyaman-asri-di-jakarta-bar-169157605443.html","Meruya Utara Kel., Kembangan, Jakarta Barat, JABODETABEK, Indonesia
                                        Meruya, Jakarta Barat","92 m²","147 m²","3","3","Tidak","null","null","null","null","null","null","null","Rp2.500.000.000"
"1696674541-1979","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/hunian-2-lt-mezzanine-room-style-eropa-classic-lok-169149141613.html","Ciracas, Jakarta Timur","60 m²","68 m²","3","2","Tidak","Pendingin ruangan (AC)","null","null","null","Balkon","Keamanan 24 jam","null","Rp799.000.000"
"1696674545-1980","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/hunian-mewah-class-eropa-style-classic-selangkah-k-169150316127.html","Ciracas, Jakarta Timur","60 m²","68 m²","3","2","Tidak","Pendingin ruangan (AC)","null","null","null","Balkon","Keamanan 24 jam","null","Rp799.000.000"
"1696674549-1981","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=91","Lihat","https://www.lamudi.co.id/dijual-rumah-sunter-luas-90-mmeter-6x15-m2-jakarta-169156862033.html","Sunter, Jakarta Utara","90 m²","120 m²","3","3","Tidak","null","null","null","null","null","null","null","Rp1.800.000.000"
"1696674558-1982","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/rumah-hitung-tanah-di-kalibata-selatan-dekat-pasar-169415586088.html","Jalan Kalibata Selatan, Jakarta Selatan 12740, Indonesia
                                        Kalibata, Jakarta Selatan","417 m²","400 m²","3","3","400","null","null","null","null","null","null","null","Rp9.000.000.000"
"1696674562-1983","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/hunian-mewah-dalam-cluster-plus-private-poll-dan-r-169322033037.html","Jagakarsa, Jakarta Selatan","197 m²","565 m²","6","6","565","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","null","Keamanan 24 jam","null","Rp8.500.000.000"
"1696674566-1984","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/rumah-2-lantai-plus-rooftop-lokasi-dekat-transmart-169322033118.html","Cilandak, Jakarta Selatan","105 m²","220 m²","5","5","220","Pendingin ruangan (AC)","null","null","Kitchen set","null","Keamanan 24 jam","null","Rp3.700.000.000"
"1696674570-1985","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/rumah-2-lantai-plus-rooftop-dalam-cluster-16932203531.html","Jagakarsa, Jakarta Selatan","124 m²","200 m²","4","4","200","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","null","Keamanan 24 jam","null","Rp2.975.000.000"
"1696674573-1986","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/hunian-cantik-siap-huni-dalam-cluster-semi-furnish-16932203460.html","Jagakarsa, Jakarta Selatan","75 m²","150 m²","4","4","150","Pendingin ruangan (AC)","Air Panas","null","null","null","null","null","Rp2.150.000.000"
"1696674577-1987","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/hunian-cantik-siap-huni-dalam-cluster-semi-furnish-169322036356.html","Jagakarsa, Jakarta Selatan","75 m²","150 m²","4","4","150","Pendingin ruangan (AC)","Air Panas","null","null","null","null","null","Rp2.150.000.000"
"1696674581-1988","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/hunian-mewah-2-lantai-dengan-private-pool-169322032115.html","Jagakarsa, Jakarta Selatan","200 m²","250 m²","5","5","250","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","null","Keamanan 24 jam","Taman bermain anak","Rp4.950.000.000"
"1696674585-1989","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/newcluster-clasic-jagakarsa-siap-huni-cash-kpr-169310196620.html","Jagakarsa, Jakarta Selatan","85 m²","200 m²","4","4","No","null","null","null","null","null","null","null","Rp2.500.000.000"
"1696674589-1990","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/rumah-dengan-kolam-renang-di-cilandak-ragunan-169286800398.html","Jalan Kavling POLRI Cilandak Ragunan Jakarta Selatan
                                        Cilandak, Jakarta Selatan","958 m²","425 m²","5","5","425","Pendingin ruangan (AC)","null","null","Kitchen set","null","null","null","Rp15.000.000.000"
"1696674593-1991","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/hunian-mewah-dalam-cluster-lokasi-strategis-16930934234.html","Ragunan, Jakarta Selatan","124 m²","225 m²","5","5","No","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","null","Keamanan 24 jam","null","Rp3.850.000.000"
"1696674597-1992","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-area-pluit-jakarta-utara-nego-s-169034006639.html","JL. PLUIT PUTRA KENCANA NO. 33 PLUIT, JAKARTA UTARA
                                        Pluit, Jakarta Utara","350 m²","600 m²","7","1","2","null","null","null","Kitchen set","Balkon","Keamanan 24 jam","null","Rp9.000.000.000"
"1696674601-1993","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/perumahan-ciracas-green-view-jakarta-timur-1.html","jalan Manunggal II
                                        Ciracas, Jakarta Timur","55 m²","72 m²","3","3","Yes","null","null","null","null","null","null","null","Rp866.000.000"
"1696674605-1994","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/dijual-rumah-pinggir-jl-jend-a-yani-by-pass-jakart-165900991253.html","Jl. Jend. A. Yani, Jakarta Timur
                                        Pisangan Timur, Jakarta Timur","324 m²","140 m²","7","3","No","null","null","null","null","null","null","null","Rp6.000.000.000"
"1696674609-1995","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/dijual-cluster-montana-tipe-padma-3-juta-all-in-168889506733.html","Palmerah, Jakarta Barat","1 m²","30 m²","2","1","No","null","null","null","null","null","Keamanan 24 jam","Taman bermain anak","Rp319.999.787"
"1696674613-1996","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/luxurious-house-at-premium-area-permata-hijau-jaka-168545459125.html","Jakarta Selatan","1380 m²","1000 m²","8","8","1000","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","Balkon","Keamanan 24 jam","Taman bermain anak","Rp100.000.000.000"
"1696674617-1997","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/dijual-rumah-daerah-cilandak-furnish-rapih-siap-huni-rp-9-m.html","Cipete Selatan
                                        Cilandak, Jakarta Selatan","275 m²","420 m²","5","6","420","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","null","null","null","Rp9.000.000.000"
"1696674629-1998","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=90","Lihat","https://www.lamudi.co.id/rumah-nyaman-siap-huni-taman-hass-durian-jagakarda-168693333739.html","Jagakarsa, Jakarta Selatan","192 m²","295 m²","5","5","No","null","null","null","null","null","null","null","Rp4.800.000.000"
"1696674637-1999","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/dijual-rumah-modern-mewah-4-kamar-di-cipete-jakart-168061086532.html","Cipete, Jakarta Selatan","400 m²","500 m²","4","5","2","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","Balkon","Keamanan 24 jam","null","Rp17.000.000.000"
"1696674641-2000","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/dijual-rumah-jl-lembang-menteng-jakarta-pusat-16627041932.html","Menteng, Jakarta Pusat","494 m²","494 m²","10","9","494","null","null","null","null","null","null","null","Rp38.000.000.000"
"1696674645-2001","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/jual-cepat-rumah-mewah-di-jagakarsa-3-lantai-shm-2-6-milyar.html","Jakarta Selatan","212 m²","250 m²","5","3","250","Pendingin ruangan (AC)","null","null","Kitchen set","null","null","null","Rp2.600.000.000"
"1696674649-2002","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/dijual-rumah-the-view-bsd-bintaro-16927762941.html","","60 m²","76 m²","3","2","Tidak","null","null","null","null","null","Keamanan 24 jam","Taman bermain anak","Rp1.068.569.664"
"1696674653-2003","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/rumah-mewah-ditengah-kota-mampang-prapatan-jaksel-169103144514.html","Mampang Prapatan, Jakarta Selatan","247 m²","607 m²","6","6","No","null","null","null","null","null","null","null","Rp11.250.000.000"
"1696674657-2004","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/dekat-binus-rumah-jual-murah-nyaman.html","Gili sampeng
                                        Kebon Jeruk, Jakarta Barat","423 m²","350 m²","5","5","350","null","Air Panas","Televisi","Kitchen set","Balkon","Keamanan 24 jam","Taman bermain anak","Rp7.500.000.000"
"1696674661-2005","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/pondok-indah-one-gate-sistem-167791198577.html","Pondok Indah, Jakarta Selatan","430 m²","998 m²","4","4","No","null","Air Panas","null","null","Balkon","Keamanan 24 jam","Taman bermain anak","Rp26.000.000.000"
"1696674664-2006","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/unit-terbatas-rumah-dengan-rooftop-di-mampang-jaka-169405873763.html","Jalan Mampang Prapatan, Jakarta Selatan 12760, Indonesia
                                        Mampang Prapatan, Jakarta Selatan","46 m²","129 m²","3","3","129","null","null","null","null","Balkon","Keamanan 24 jam","null","Rp1.400.000.000"
"1696674668-2007","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/rumah-dijual-dekat-pasar-minggu-jakarta-selatan-169032073781.html","Komplek Benteng Garuda Jl. Kalibata Selatan II
                                        Kalibata, Jakarta Selatan","210 m²","400 m²","5","5","400","null","null","null","Kitchen set","Balkon","null","null","Rp6.500.000.000"
"1696674672-2008","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/rumah-desaen-clasic-3lt-jagakarsa-jaksel-siap-huni-169442476979.html","Jagakarsa, Jakarta Selatan","85 m²","200 m²","5","5","Tidak","null","null","null","null","null","null","null","Rp2.500.000.000"
"1696674676-2009","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/rumah-2lt-model-eropa-jagakarsa-jak-sel-siap-huni-169478730969.html","Jagakarsa, Jakarta Selatan","64 m²","100 m²","3","3","Tidak","null","null","null","null","null","null","null","Rp1.600.000.000"
"1696674680-2010","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/3-unit-kontrakan-sudah-terisi-jagakarsa-harga-nego-169474565731.html","Jagakarsa, Jakarta Selatan","150 m²","150 m²","3","3","Tidak","null","null","null","null","null","null","null","Rp900.000.000"
"1696674684-2011","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/rumah-astya-puri-bintaro-dekat-mrt-lebak-bulus-sta-167204549274.html","Pesanggrahan, Jakarta Selatan","320 m²","450 m²","7","4","450","Pendingin ruangan (AC)","null","null","null","null","null","null","Rp3.500.000.000"
"1696674688-2012","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/dijual-rumah-mewah-lokasi-pondok-indah-jakarta-sel-169647752322.html","Jakarta Selatan","410 m²","580 m²","5","5","Tidak","null","null","null","null","null","null","null","Rp22.000.000.000"
"1696674692-2013","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-di-metland-menteng-jakarta-timu-169647981374.html","Jakarta Timur","200 m²","350 m²","5","4","350","null","null","null","null","null","null","null","Rp3.750.000.000"
"1696674696-2014","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/rumah-3-lantai-kolam-renang-rooftop-dekat-tol-jaga-168456740783.html","Jagakarsa, Jakarta Selatan","107 m²","240 m²","4","4","1","Pendingin ruangan (AC)","null","null","Kitchen set","null","null","null","Rp3.300.000.000"
"1696674700-2015","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/rumah-citayam-strategis-free-cicilan-2-bulan-dp-0-169598150042.html","Kampung Rambutan, Jakarta Timur","106 m²","36 m²","2","2","Tidak","Pendingin ruangan (AC)","null","null","null","null","Keamanan 24 jam","Taman bermain anak","Rp300.000.000"
"1696674704-2016","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/rumah-hunian-nyaman-terawat-6-kamar-di-bintaro-kes-168738005561.html","Kesehatan
                                        Bintaro, Jakarta Selatan","420 m²","180 m²","6","4","180","null","null","null","null","null","null","null","Rp5.800.000.000"
"1696674707-2017","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/rumah-ready-3-lantai-rooftop-dilokasi-startegis-ja-168457023936.html","Jagakarsa, Jakarta Selatan","83 m²","200 m²","4","4","3","null","null","null","null","null","Keamanan 24 jam","null","Rp2.550.000.000"
"1696674712-2018","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/rumah-citayam-strategis-free-cicilan-3-bulan-dp-0-169503185957.html","Melawai, Jakarta Selatan","164 m²","36 m²","2","2","Tidak","Pendingin ruangan (AC)","null","null","null","null","Keamanan 24 jam","Taman bermain anak","Rp300.000.000"
"1696674715-2019","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/di-jual-rumah-di-petojo-selatan-gambir-jakarta-pus-169608443140.html","Petojo Selatan, Jakarta Pusat","248 m²","350 m²","6","7","Tidak","null","null","null","null","null","null","null","Rp10.500.000.000"
"1696674719-2020","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/rumah-kampung-luas-108-167401272142.html","Munjul, Jakarta Timur","108 m²","60 m²","2","2","60","null","null","null","null","null","null","null","Rp535.000.000"
"1696674723-2021","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/cluster-minimalis-harga-terjangkau-akses-mudah-dek-168871934862.html","Ciracas, Jakarta Timur","30 m²","30 m²","2","1","30","null","null","null","null","null","null","null","Rp170.000.000"
"1696674727-2022","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/hebohhh-ingin-rasanya-memiliki-rumah-classic-moder-166003657854.html","Simprug XVI
                                        Kebayoran Baru, Jakarta Selatan","1000 m²","1000 m²","5","5","1000","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","null","null","null","Rp72.000.000.000"
"1696674731-2023","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/rumah-mewah-3-kamar-harga-murah-5-menit-menuju-sta-169339603797.html","Casablanca, Jakarta Selatan","50 m²","55 m²","3","3","55","null","null","null","null","null","Keamanan 24 jam","null","Rp335.000.000"
"1696674735-2024","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/murah-jakarta-barat-1-3m-dekat-tol-exit-karang-tengah-fasum-lengkap.html","puri jakbar
                                        Semanan, Jakarta Barat","50 m²","53 m²","3","3","53","Pendingin ruangan (AC)","null","null","null","Balkon","Keamanan 24 jam","Taman bermain anak","Rp1.300.000.000"
"1696674739-2025","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/rumah-dijual-di-tipar-cakung-168387788251.html","Jakarta Utara","60 m²","91 m²","3","3","91","null","null","null","Kitchen set","null","Keamanan 24 jam","null","Rp1.750.000.000"
"1696674742-2026","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/dijual-murah-rumah-pik-2-ukuran-4-5-10-168879010472.html","Pantai Indah Kapuk, Jakarta Utara","45 m²","62 m²","2","2","62","null","null","null","null","null","null","null","Rp1.300.000.000"
"1696674746-2027","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/dijual-rumah-secondary-cantik-dalam-cluster-elite-169440391095.html","Kota Wisata, Jakarta Timur","162 m²","300 m²","5","4","Tidak","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","Balkon","Keamanan 24 jam","Taman bermain anak","Rp2.000.000.000"
"1696674750-2028","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=89","Lihat","https://www.lamudi.co.id/dijual-rumah-mewah-di-kencana-permai-pondok-indah-169175451630.html","Jakarta Selatan","713 m²","651 m²","5","3","651","null","null","null","null","null","null","null","Rp30.000.000.000"
"1696674758-2029","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=88","Lihat","https://www.lamudi.co.id/jual-cepat-rumh-komplek-kebon-jeruk-baru-lt150m2-d-169510315036.html","Jalan Kebon Jeruk Baru Blok A10
                                        Kebon Jeruk, Jakarta Barat","150 m²","200 m²","3","3","200","null","null","null","null","null","null","null","Rp2.400.000.000"
"1696674762-2030","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=88","Lihat","https://www.lamudi.co.id/termurah-perum-taman-meruya-ilir-kebon-jeruk-jakar-169510263170.html","Meruya, Jakarta Barat","423 m²","800 m²","4","4","800","null","null","null","null","null","null","null","Rp5.200.000.000"
"1696674766-2031","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=88","Lihat","https://www.lamudi.co.id/termurah-rumah-kantor-jl-darmawangsa-cipete-kebayo-169510264813.html","Kebayoran Baru, Jakarta Selatan","526 m²","465 m²","4","3","465","null","null","null","null","null","null","null","Rp25.000.000.000"
"1696674771-2032","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=88","Lihat","https://www.lamudi.co.id/rumah-mewah-konsep-mezzanine-selangkah-lrt-cbr-169149274472.html","Ciracas, Jakarta Timur","60 m²","74 m²","3","2","Tidak","null","null","null","null","null","null","null","Rp799.000.000"
"1696674775-2033","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=88","Lihat","https://www.lamudi.co.id/hunian-mewah-style-eropa-2-lt-big-promo-harga-mula-169149233132.html","Ciracas, Jakarta Timur","60 m²","68 m²","3","2","Tidak","Pendingin ruangan (AC)","null","null","null","Balkon","Keamanan 24 jam","null","Rp799.000.000"
"1696674779-2034","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=88","Lihat","https://www.lamudi.co.id/kunjungi-segera-duta-premier-cibubur-6-unit-terakh-169149170976.html","Ciracas, Jakarta Timur","60 m²","68 m²","3","2","Tidak","Pendingin ruangan (AC)","null","null","null","Balkon","Keamanan 24 jam","null","Rp799.000.000"
"1696674783-2035","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=88","Lihat","https://www.lamudi.co.id/hunian-mewah-class-eropa-style-classic-selangkah-k-169150312994.html","Ciracas, Jakarta Timur","60 m²","68 m²","3","2","Tidak","Pendingin ruangan (AC)","null","null","null","Balkon","Keamanan 24 jam","null","Rp799.000.000"
"1696674787-2036","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=88","Lihat","https://www.lamudi.co.id/dijual-hunian-modern-tanah-tinggi-senen-jakarta-pu-168612312182.html","Senen, Jakarta Pusat","41 m²","60 m²","3","3","60","null","null","null","null","Balkon","null","null","Rp932.000.000"
"1696674791-2037","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=88","Lihat","https://www.lamudi.co.id/dijual-hunian-siap-huni-cipinang-kebembem-rawamang-168628777592.html","Cipinang, Jakarta Timur","36 m²","65 m²","2","2","65","null","null","null","null","Balkon","null","null","Rp1.040.000.000"
"1696674795-2038","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=88","Lihat","https://www.lamudi.co.id/duta-cibubur-premier-169304226129.html","Ciracas, Jakarta Timur","68 m²","68 m²","3","2","68","Pendingin ruangan (AC)","null","null","null","Balkon","Keamanan 24 jam","null","Rp799.000.000"
"1696674798-2039","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=88","Lihat","https://www.lamudi.co.id/cluster-41-unit-dekat-toll-stasiun-lrt-brand-new-e-169304016798.html","Jakarta Timur","68 m²","68 m²","3","2","68","Pendingin ruangan (AC)","null","null","null","Balkon","Keamanan 24 jam","null","Rp799.000.000"
